text,cluster
" Faster AMD Athlon 64 #39;s On The Way

 Chips such as the Athlon 64 FX and Intel #39;s Pentium 4 Extreme Edition populate the very top of the desktop market, appearing mainly in game machines fitted with the latest graphics cards and high-performance storage systems to render games with the ",2
" DJ to acquire MarketWatch

 Dow Jones  amp; Co., publisher of the Wall Street Journal, says it has agreed to buy online news site MarketWatch Inc. in a \$519 million deal that widens its Internet audience.",2
" Danes find a bridge to love (Chicago Tribune)

 Chicago Tribune - The train is sleek and fast that each night carries Christina Reves away from her country and toward her husband. It races through Denmark's scattered marshes and clicks over a bridge and across the water, stopping 35 minutes later in Sweden.",1
" AMD's Ruiz disappointed by Microsoft's 64-bit delays

 Advanced Micro Devices Inc. (AMD) is disappointed by Microsoft Corp.'s decision to delay the introduction of 64-bit versions of its Windows operating system, but sees no significant impact from the delay on sales of its 64-bit processors, the company's top executive said Thursday.",2
" FEC May Regulate Internet Political Activity

 By SHARON THEIMER     WASHINGTON (AP) -- With political fund raising, campaign advertising and organizing taking place in full swing over the Internet, it may just be a matter of time before the Federal Election Commission joins the action.    Well, that time may be now...",0
" Kidnappers Release Seven Hostages in Iraq

 BAGHDAD, Iraq - Kidnappers released two female Italian aid workers and five other hostages Tuesday, raising hopes for at least 18 foreigners still in captivity. But insurgents showed no sign of easing their blood-soaked campaign against the U.S...",0
" Oil Climbing Back Up After Supply Report

  LONDON (Reuters) - Oil prices rebounded from seven-week  lows on Wednesday as U.S. heating oil stocks fell for an eighth  straight week ahead of winter.",2
" Charlotte Bobcats Pick Up Option on Ely (AP)

 AP - The Charlotte Bobcats picked up the option on center Melvin Ely for the 2005-06 season.",1
" Brockton has its lines down pat

 Brockton reached the postseason by controlling the line of scrimmage and it wasn't about to change its game plan.",1
" Smithfield quarterly profits beat outlook

 SMITHFIELD, Va. Meat processor Smithfield Foods says its income more than doubled in the most recent quarter. The company cites improved profitability in the hog production segment, combined with strong results ",2
" It's October and It's Time for Playoffs!

 Curt Schilling and Pedro Martinez are revved up. Roger Clemens and Roy Oswalt are rarin' to go...",1
" Bentley comes home just ahead of NE-10 crowd

 The Northeast-10 Conference race is entering the final third of the season, and the four teams atop the standings are separated by just a half-game.",1
" Baseball #39;s image getting Creamed

 it #39;s the sport that won #39;t die, no matter what. You can have gamblers, psychotic fans, spouses that blab and players who cork.",1
" Intel and AMD battle for dual-core chips

 Advanced Micro Devices (AMD) showcased its dual-core x86 Opteron microprocessor this week. The upcoming dual-core CPU for the enterprise enviornment is expected to debut in mid-2005 and was housed in a HP ProLiant DL585 server.",2
" Command Failure Seen at Fault in Beslan Massacre

  MOSCOW (Reuters) - Security forces bungled the handling of  Russia's worst hostage drama because nobody was in charge and  special forces were not ready when the shooting started,  security analysts said on Monday.",0
" Nokia pulls out, Sony Ericsson goes in

 STRANGE. THE DAY after Sony Ericsson announces it has done a deal with the Financial Times (FT) to offer content via its portal, Nokia says it is reigning back its own portal, Club Nokia.",2
" Australia #39;s S amp;P/ASX 200 Falls; Origin Declines, Woodside Climbs

 Australia #39;s S amp;P/ASX 200 Index fell for a third day. Origin Energy Ltd. declined after New Zealand #39;s Contact Energy Ltd.",2
" Russia Delays Review of Yukos Subsidiary Licenses

 Russia #39;s Natural Resources Ministry has postponed consideration of whether to suspend the licenses of the main subsidiary of the troubled giant oil firm Yukos.",2
" BAE buys Pentagon contractor

 British defense firm BAE Systems has agreed to pay \$600 million (333.7 million pounds) for DigitalNet Holdings, a maker of secure Pentagon computer networks, the companies say in a weekend statement.",2
" US house sales fall in July

 Sales of non-new houses in the US fell last month but still exceeded analyst forecasts.",2
" Ravens - Bills: Game Notes

 COMPOSED: With Lewis serving the first game of his two-game suspension for violating the NFL substance-abuse policy, Chester Taylor was effective and decisive in his debut.",1
" Ricky Must Pay

 An arbitrator ruled yesterday that tailback Ricky Williams, who retired just before training camp, must repay the Dolphins \$8.6 million.",1
" U.S. Raps Cuba on Its Presence Abroad (AP)

 AP - The State Department is accusing Cuba of training Colombian rebels and says it is troubled by a large presence of Cuban personnel in Venezuela, whose president, Hugo Chavez, is a close ally of Cuban President Fidel Castro.",0
" Israel welcomes Rice nomination; Palestinians wary

 Israel on Tuesday warmly welcomed the naming of Condoleezza Rice as America #39;s top diplomat, but Palestinians were wary, saying the new Bush administration must put more energy into the quest for Middle East peace.",0
" Hurricane Jeanne Takes Aim at Florida

 WEST PALM BEACH, Fla. - Hurricane Jeanne trekked westward Friday on a path that could lead to Florida's east coast by Sunday, setting off another round of storm preparations in a state still reeling from three earlier strikes...",0
" Boston Scientific to Offer Senior Notes

 Medical device maker Boston Scientific Corp. on Monday said it is launching a public offering of two series of its senior notes to repay commercial paper borrowings and for general corporate purposes.",2
" Chinese official moved as Hu consolidates power

 China #39;s Communist Party chief Hu Jintao moved a close political ally out of a problem-plauged province on Monday and analysts say he will make more personnel changes as he continues to consolidate power.",0
" Falcons keep heat on Bulger, RBs

 He #39;s a cool guy, a borderline lunatic, someone who can jam the hell out of a Strat. He #39;s got a temper that #39;s quicker than Michael Vick and spent some time last week talking football ",1
" Al-Sadr Calls on Militia to End Uprising

 BAGHDAD, Iraq - Rebel cleric Muqtada al-Sadr wants his followers to end their uprising against U.S. and Iraqi forces while he considers forming a political movement, senior al-Sadr officials said Monday...",0
" The China Post

 President Chen Shui bian said yesterday he does not expect China to ease its military threat against the island after Chinese President Hu Jintao took over as the country #39;s top military chief.",0
" Newfound Comet Set for Winter Display (SPACE.com)

 SPACE.com - Donald Machholz of Colfax, \  California, an optician who has been interested in astronomy since age eight, \  discovered nine comet from 1978 through 1994. He has since spent 1,457 hours \  scanning the skies for other comets, without any luck.",2
" Anderson makes NHRA history with US Nationals win

 Greg Anderson has so dominated Pro Stock this season that his championship quest has evolved into a pursuit of NHRA history. By Bob Hesser, Racers Edge Photography.",1
" Lost Dreams May Show Stuff Dreams Are Made Of (Reuters)

 Reuters - A stroke that robbed a woman of her\dreams may help pinpoint where and how dreams are born in the\brain, scientists said on Friday.",0
" Cubs, Marlins Split

 The Cubs briefly lead the NL wild-card standings after winning the first game of a doubleheader with the Marlins, but lose the sceond.",1
" Badgers fans hyped about teams undefeated season

 Never in the University of Wisconsin football programs 115-year history have the Badgers been 10-0. That could happen today in East Lansing, Mich.",1
" Things better without Conway?

 PeopleSoft Inc., in the midst of fighting a takeover bid from Oracle Corp., is  quot;in better shape quot; because of the departures of Chief Executive Craig Conway and a senior technology official, a director testified.",2
" Bush Twins Host Pre-Convention Party (AP)

 AP - Barbara and Jenna Bush, the president's 22-year-old twin daughters, arrived like rock 'n' roll stars at a Republican convention party Sunday, complete with red carpet, cameras and paparazzi shouting for a smile.",0
" Australia cruise into semifinals

 London, Sept. 16. (PTI): World Champions Australia sounded a stern warning to their rivals as they thumped New Zealand by seven wickets in a Group A league match and entered the semifinals of the ICC Champions Trophy one-day cricket tournament.",1
" Correction: Spam-Lawsuit Story (AP)

 AP - In an Aug. 29 story about a permanent injunction against a Rhode Island man who sent unsolicited text messages to Verizon Wireless cell phone customers, The Associated Press erroneously reported the date of the federal court action. The injunction was granted Aug. 23, not Aug. 27.",2
" Curacao Rallies to Beat Taiwan 9-8 in LLWS (AP)

 AP - Down four runs with only three outs left, Curacao manager Vernon Isabella thought his team's run for a championship was over. That was until Jonathan Schoop led an unlikely rally.",1
" World ban on human cloning, UK stands up to US pressure

 Great Britains best scientists are standing up to American government pressure to get a worldwide ban on all types of human cloning by backing an international campaign against American efforts.",0
" National union leaders set a timeline for change

 November 11, 2004. WASHINGTON -aced with the impact of labor #39;s political loss on Nov. 2, the AFL-CIO Executive Council decided on Nov. 10 on a timeline for changes in the union movement ",0
" Thaksin vows  #39;iron fist #39; against rebels in south

 BANGKOK Prime Minister Thaksin Shinawatra headed to a Muslim-dominated part of southern Thailand on Sunday after promising to act aggressively against militants and illegal weapons they have used in deadly attacks there.",0
" IBM #8217;s Atlantic tools platform set to sail (InfoWorld)

 InfoWorld - IBM Rational on Wednesday plans to flesh out complete plans for the upcoming IBM Software Development Platform, code-named  #8220;Atlantic. #8221;",2
" Second Andre win in a row boosts US gold medal hopes

 Andre Dirrell, fighting with a tattoo of his grandfather #39;s face on his back, assured the United States of at least two boxing medals Wednesday by narrowly beating Cuba #39;s Yordani Despaigne to advance to the Olympic middleweight semifinals.",1
" Brown Struggles Early, but Yankees End It Fast

 Kevin Brown flirted with danger in the early innings, allowing the Blue Jays to take a 4-0 edge before the Yankees finally solved the Toronto lefthander Ted Lilly.",1
" British hostage killed in Iraq: TV

 The British hostage held in Iraq by a militant group led by al-Qaida ally Abu Musab al-Zarqawi was killed Friday, pan-Arab Abu Dhabi TV reported.",0
